No,施設区分,配置施設名,所管課,所在地,lat,lng,電話番号,AED利用可能時間,時間外利用方法,,施設数,配置台数,施設内の設置場所,,,,,,,
82,,中藁科こども園,こども園課,葵区大原１２３７番地,35.0075,138.278734,279-0002,7:30～18:00(月～土）,時間外利用不可,,1,1,１階玄関ロビー通路側,,,,,,,
83,,服織中央こども園,こども園課,葵区羽鳥本町２５番３３号,34.986366,138.330234,278-2217,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関,,,,,,,
84,,服織こども園,こども園課,葵区山崎一丁目１７番１号,34.975712,138.353834,278-9721,7:30～18:00(月～土）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
85,,葵待機児童園,こども園課,葵区千代田三丁目３番２５号,34.994571,138.400741,207-8883,7:00～19:00(月～土）,時間外利用不可,,1,1,事務室前,,,,,,,
86,,安倍口こども園,こども園課,葵区安倍口新田４３番地の１,35.02237,138.358922,296-1824,7：00～18：00（月～金）,時間外利用不可,,1,1,職員室玄関,,,,,,,
87,,安東こども園,こども園課,葵区安東三丁目１１番地の１７,34.991643,138.384045,245-6227,7：00～18：00（月～金）,時間外利用不可,,1,1,１階玄関,,,,,,,
88,,西奈こども園,こども園課,葵区瀬名三丁目２４番地２５号,35.023463,138.421033,261-3016,7：00～18：00（月～金）,時間外利用不可,,1,1,１階玄関,,,,,,,
89,,藁科こども園,こども園課,葵区吉津１番地,34.980418,138.308867,278-6637,7：00～18：00（月～金）,時間外利用不可,,1,1,１階玄関,,,,,,,
90,保健衛生施設等,井川診療所,保険年金管理課,葵区 井川１１３３番地の２,35.222103,138.244287,260-2300,8:30～17:00  月～金(休診日除く）8：30～12：00（第1・2・3土曜）,時間外利用不可,,1,1,一階診療室,,,,,,,
91,,梅ヶ島診療所,保健衛生総務課,葵区梅ヶ島１３２６番地,35.244158,138.342198,269-2025,月・火・金9：00～17：00,診療所兼住宅のため、医師が在宅の場合は使用可,,1,1,診察室内,,,,,,,
92,,大川診療所,保健衛生総務課,葵区坂ノ上６１５番地,35.06891,138.244372,291-2622,月～水、金　　9：00～17：00土曜（第１、第３土曜日を除く）　　9：00～12：00,時間外利用不可,,1,1,受付事務室内,,,,,,,
93,,大河内診療所,保健衛生総務課,葵区平野１０９７番地の３９,35.140588,138.365622,293-2021,水曜　11：00～18：00土曜　10：30～12：30,時間外利用不可,,1,1,処置室内,,,,,,,
94,,玉川診療所,保健衛生総務課,葵区落合２４３番地の６,35.110538,138.331036,292-2223,月～水、金9：00～17：00,時間外利用不可,,1,1,診察室内,,,,,,,
95,,こころの健康センター,こころの健康センター,葵区柚木２４０番地,34.983198,138.408138,262-3011,月曜～金曜　8：30～17：00（祝日・年末年始を除く）,時間外利用不可,,1,1,２階ホール,,,,,,,
96,,静岡病院,静岡病院病院施設課,葵区追手町１０番９３号,34.978481,138.379676,253-3125,24時間　毎日,,,1,14,①西館１階　待合ホール,,,,,,,
97,,,,,34.978481,138.379676,,24時間　毎日,,,,,②西館３階　,,,,,,,
98,,,,,34.978481,138.379676,,24時間　毎日,,,,,③西館４階,,,,,,,
99,,,,,34.978481,138.379676,,24時間　毎日,,,,,④西館６階,,,,,,,
100,,,,,34.978481,138.379676,,24時間　毎日,,,,,⑤西館７階,,,,,,,
101,,,,,34.978481,138.379676,,24時間　毎日,,,,,⑥西館８階　,,,,,,,
102,,,,,34.978481,138.379676,,24時間　毎日,,,,,⑦西館９階,,,,,,,
103,,,,,34.978481,138.379676,,24時間　毎日,,,,,⑧西館12階,,,,,,,
104,,,,,34.978481,138.379676,,24時間　毎日,,,,,⑨東館地階　エレベーターホール,,,,,,,
105,,,,,34.978481,138.379676,,24時間　毎日,,,,,⑩東館２階　エレベーターホール,,,,,,,
106,,,,,34.978481,138.379676,,24時間　毎日,,,,,⑪東館９階,,,,,,,
107,,,,,34.978481,138.379676,,24時間　毎日,,,,,⑫東館10階,,,,,,,
108,,,,,34.978481,138.379676,,24時間　毎日,,,,,⑬東館11階,,,,,,,
109,,,,,34.978481,138.379676,,24時間　毎日,,,,,⑭北館２階（配置予定）,,,,,,,
110,,障害者歯科保健センター,健康づくり推進課,葵区城東町２４番１号,34.986211,138.387609,249-3147,8:30～17：15火～土（祝日除く）,時間外利用不可,,1,1,保健所棟１階センター受付カウンター内,,,,,,,
111,,地域リハビリテーション推進センター,地域ﾘﾊﾋﾞﾘﾃｰｼｮﾝ推進ｾﾝﾀｰ,葵区城東町２４番１号,34.986211,138.387609,249-3182,8:30～17：15月～金（祝日・年末年始を除く）,時間外利用不可,,1,1,保健福祉複合棟２階事務室内,,,,,,,
112,,動物愛護館,動物指導センター,葵区産女９５４番地,34.980316,138.322652,動物愛護館（278-4070）、動物指導センター（278-6409）,9：00～16：00（年末年始除く）,時間外利用不可,,1,1,１階受付横,,,,,,,
113,,保健所（２階）,保健予防課,葵区城東町２４番１号,34.986211,138.387609,249-3170,8：30～17：15　月～金(祝日・年末年始を除く）　,警備員室・守衛室へ声をお掛けください。,,1,1,保健所棟２階生活衛生課前,,,,,,,
114,,藁科保健福祉センター,葵健康支援課,葵区羽鳥本町５番10号,34.983841,138.328271,277-6712,休館日以外の8：30～17：15（休館日：土日祝日及び12月29日から翌年の1月3日までの日）,時間外利用不可,,1,1,事務室,,,,,,,
